vehicle_type,energy_consumption,co2_emissions_g_per_km,maintenance_cost_annual,cost_per_km,energy_storage_capacity,mileage_km,acceleration_0_100_kph_sec,torque_Nm,lifespan_years
EV,13.18,5.94,57846.04,0.1,68.63,136915.34,6.15,257.93,9.64
EV,14.07,0.99,42372.75,0.16,55.94,172006.43,6.45,301.61,12.86
ICE,5.21,132.21,38000.54,0.24,60.9,155773.77,9.44,220.68,8.15
ICE,7.23,162.59,102059.93,0.19,60.89,157333.18,7.49,197.87,14.68
ICE,6.82,123.17,86497.76,0.24,50.23,200166.18,8.55,227.31,9.8
EV,14.16,-0.49,59514.49,0.16,79.24,154817.68,5.83,309.56,13.03
ICE,7.43,142.55,82707.02,0.26,57.59,175583.95,9.39,234.41,7.82
ICE,7.39,116.21,79258.0,0.3,44.63,205108.1,12.02,279.33,11.09
EV,16.64,2.73,51412.57,0.14,61.78,143168.41,7.01,308.33,11.4
ICE,5.73,176.68,57633.8,0.33,23.94,165662.15,11.21,153.16,8.59
ICE,5.98,141.32,73347.18,0.25,45.32,181647.18,7.86,173.33,10.38
EV,14.37,-1.47,45299.58,0.14,70.45,160811.8,5.11,300.7,10.99
EV,12.84,4.36,49606.93,0.16,79.51,159949.43,5.76,374.65,13.06
ICE,9.08,185.48,86750.82,0.29,80.97,133140.67,9.74,256.48,13.27
ICE,7.2,170.02,73000.72,0.28,41.84,176601.34,10.85,180.64,11.03
ICE,8.05,192.94,98806.02,0.28,48.44,135113.98,7.18,200.86,5.71
ICE,7.72,126.02,68349.59,0.29,69.26,137861.24,10.72,177.1,9.3
ICE,6.41,154.24,39386.51,0.26,39.89,205811.88,10.5,221.81,7.88
EV,13.95,-4.52,46705.52,0.13,84.71,119792.18,6.72,289.24,8.63
EV,15.85,-6.9,62723.54,0.17,78.87,198697.7,7.31,274.79,14.74
EV,12.2,-5.72,47371.09,0.11,72.08,147911.0,6.21,297.77,11.97
ICE,8.62,80.27,89421.54,0.25,42.53,192077.27,8.47,172.34,8.54
EV,16.37,3.17,57441.92,0.16,69.94,143254.41,5.91,289.79,13.09
EV,16.65,-4.78,51906.36,0.11,75.23,212541.39,6.38,245.12,14.55
EV,14.59,1.51,44352.26,0.16,69.43,164069.34,5.18,250.96,14.36
EV,17.34,-0.55,52153.97,0.06,68.76,104391.4,6.45,249.37,9.85
EV,15.8,4.24,36006.94,0.06,73.57,161941.45,6.28,316.66,11.34
EV,14.11,-0.84,50980.68,0.15,83.51,169376.71,7.75,265.54,8.57
EV,18.07,2.9,36473.3,0.07,61.75,153423.04,7.12,333.18,12.51
ICE,8.59,142.62,70042.5,0.29,62.86,272700.65,9.55,228.82,11.65
EV,14.71,-1.69,55752.05,0.08,63.54,135061.14,6.08,315.07,12.78
ICE,8.53,108.63,70832.17,0.18,63.22,113603.78,8.77,179.05,14.19
EV,12.24,-1.54,29129.73,0.09,57.55,160811.06,4.65,443.26,8.46
EV,14.03,-6.05,53636.32,0.12,80.35,115985.09,3.79,390.99,14.85
ICE,7.98,182.57,74653.59,0.19,51.29,204564.23,10.44,110.79,4.94
EV,15.67,5.63,41133.19,0.17,69.64,129068.43,5.19,340.51,10.31
EV,16.32,-5.45,55348.17,0.12,71.47,130396.11,5.47,242.23,12.09
ICE,7.2,93.19,92659.27,0.29,76.9,233404.18,10.04,194.22,11.27
EV,15.09,3.59,47283.45,0.12,73.49,152732.81,6.5,290.8,11.66
ICE,6.53,83.31,93617.79,0.26,41.81,204561.45,8.46,150.59,15.49
ICE,8.47,131.46,65805.29,0.19,51.07,173848.59,9.85,211.8,12.06
ICE,8.13,114.48,48139.59,0.26,54.73,49986.66,8.83,271.19,13.07
EV,16.44,-2.92,48256.46,0.12,64.38,139645.59,4.66,253.78,13.48
EV,13.94,-1.3,45467.52,0.06,81.4,152535.55,6.26,302.65,12.88
EV,13.71,-7.09,46128.69,0.17,74.21,154024.99,5.77,361.44,12.83
EV,11.16,-0.95,44558.86,0.09,81.46,135580.56,7.04,251.03,10.07
EV,12.18,2.12,37607.42,0.14,69.12,161944.42,6.96,302.76,13.96
EV,14.82,-6.48,56897.08,0.17,76.8,133769.79,6.9,339.41,9.38
ICE,7.61,97.69,78646.36,0.17,51.7,185620.36,9.47,162.0,7.88
ICE,7.53,122.4,68220.23,0.23,43.38,172236.79,11.55,211.08,9.33
ICE,6.85,170.29,86452.14,0.23,34.94,159692.29,10.38,213.41,7.73
EV,14.35,4.42,52553.84,0.16,72.19,172409.43,7.47,343.64,12.42
ICE,5.77,107.65,64127.8,0.27,68.55,202386.46,10.56,183.16,11.6
EV,16.06,8.31,47829.83,0.15,51.79,186718.46,4.25,339.75,10.63
ICE,6.64,136.92,81774.95,0.19,56.42,141796.71,4.04,234.39,11.04
ICE,8.92,128.77,95557.57,0.29,39.32,145096.22,7.43,259.24,9.4
ICE,4.89,145.92,88895.81,0.35,63.44,142209.89,9.71,131.09,12.44
ICE,5.24,116.77,68527.26,0.26,47.75,150920.21,6.98,233.17,9.13
EV,16.29,-5.22,34688.92,0.07,60.99,144672.12,5.45,210.29,13.23
EV,13.88,0.99,48061.74,0.15,64.21,134647.09,5.14,320.24,14.69
EV,12.84,-0.74,43995.76,0.16,74.2,162475.11,6.39,297.46,16.37
ICE,8.67,124.04,108759.32,0.29,41.41,198834.75,8.93,240.63,7.16
ICE,9.88,148.68,67623.54,0.18,51.79,183941.04,8.33,185.45,10.73
ICE,5.96,113.82,60122.64,0.23,74.72,199820.66,7.66,209.79,10.76
ICE,9.11,91.07,70825.92,0.18,42.56,159088.75,8.88,205.84,8.46
EV,13.02,-2.24,64033.7,0.09,63.33,159834.33,6.37,355.09,11.32
ICE,9.11,132.34,58747.65,0.37,49.64,149099.66,10.11,180.45,9.73
EV,11.79,8.63,69925.15,0.11,61.55,152483.19,5.11,272.06,15.83
ICE,7.09,119.37,84188.6,0.24,37.16,153931.83,7.78,250.56,11.99
EV,18.77,3.06,40993.79,0.08,67.06,119100.83,8.34,203.25,11.92
ICE,10.54,102.49,88455.1,0.24,49.73,221751.08,10.78,148.33,11.7
ICE,10.52,108.91,85921.36,0.27,62.16,208977.13,7.28,153.65,13.58
ICE,6.6,164.47,56442.87,0.3,62.1,216606.89,6.79,283.17,12.07
ICE,6.33,148.06,76292.43,0.3,55.68,203529.47,8.09,231.94,9.94
EV,13.23,-0.1,54258.87,0.14,80.97,180883.22,4.57,322.51,13.29
ICE,11.1,118.58,70594.58,0.23,64.06,225401.47,9.88,180.69,15.78
ICE,9.12,123.0,67266.43,0.21,56.46,165179.47,11.19,120.12,11.44
ICE,6.98,105.83,84947.35,0.18,51.54,169155.61,8.14,231.59,11.05
ICE,8.54,184.33,103971.66,0.27,60.62,244694.35,7.13,161.0,10.6
EV,15.26,2.97,30877.45,0.11,85.29,179271.4,4.93,379.87,11.22
ICE,8.11,148.83,80473.84,0.27,51.36,239069.75,9.97,132.81,8.37
EV,14.13,-4.02,50033.76,0.12,73.6,181465.92,7.11,299.23,16.3
ICE,7.94,88.86,85477.54,0.18,44.13,209590.37,8.68,266.95,9.36
ICE,10.51,94.56,87628.03,0.18,45.82,126361.12,7.41,214.58,11.17
ICE,5.21,152.91,55076.29,0.27,48.36,202050.24,7.29,223.65,10.55
EV,13.59,-4.22,58203.44,0.12,72.5,140434.61,6.41,298.49,11.09
ICE,6.93,104.42,81524.84,0.23,63.48,200272.1,11.16,191.47,9.91
EV,14.85,-1.12,47333.48,0.15,62.84,156414.26,7.17,406.08,13.26
EV,14.0,2.15,37792.88,0.13,67.76,219740.2,5.67,194.77,12.47
EV,15.75,0.6,62389.46,0.13,67.4,136792.22,4.49,243.64,12.12
EV,11.86,-6.6,47151.25,0.13,77.83,110914.66,6.82,330.12,9.25
ICE,8.17,110.96,80452.11,0.29,48.25,191593.2,11.27,238.62,10.88
EV,19.31,7.36,61173.99,0.07,79.94,162948.95,5.83,323.52,11.63
EV,15.05,2.16,74116.77,0.1,93.92,138180.4,5.94,329.03,11.11
EV,13.45,-3.37,45632.8,0.07,88.57,158728.94,6.01,270.43,14.97
ICE,7.04,175.69,65294.18,0.19,50.22,191009.95,9.36,250.47,9.54
ICE,7.14,133.79,78367.27,0.25,46.31,141676.82,10.29,213.06,11.75
EV,12.18,5.55,60237.1,0.09,75.78,131884.23,4.6,349.73,13.28
EV,14.95,6.59,58902.48,0.06,60.59,148669.16,7.54,193.21,15.3
EV,18.76,4.6,50838.27,0.06,61.13,121800.97,6.37,259.84,11.43
ICE,4.76,143.73,96125.32,0.29,40.25,148980.69,7.73,189.49,9.99
EV,15.15,-1.07,34821.26,0.17,77.55,157685.12,5.56,418.46,12.3
EV,15.77,2.2,43380.18,0.06,65.04,137140.36,5.85,314.89,14.0
EV,14.96,2.68,69956.67,0.15,56.93,142281.0,4.05,322.81,13.66
EV,17.29,-4.05,67586.2,0.09,78.32,150470.47,4.21,228.55,12.86
EV,11.93,2.28,38774.55,0.18,59.42,127074.4,4.2,288.65,9.88
ICE,6.06,149.48,35094.4,0.19,68.3,149815.82,10.77,271.11,11.03
EV,13.35,-3.07,55006.66,0.08,53.39,134623.98,6.69,298.17,10.06
ICE,5.96,188.76,90718.25,0.19,59.03,174448.14,9.2,244.57,6.27
EV,13.36,-0.35,54577.73,0.07,82.2,182525.95,5.61,277.23,15.62
EV,13.75,0.35,50435.15,0.13,70.02,150612.52,4.43,268.44,12.26
ICE,10.56,194.32,107102.88,0.18,32.11,241530.63,9.65,202.75,9.26
ICE,7.03,128.87,62573.73,0.32,65.16,153584.75,8.67,251.67,9.94
EV,14.47,-4.94,70236.06,0.15,88.13,146253.39,7.59,279.27,13.51
EV,15.91,15.69,47634.45,0.11,80.6,168077.41,7.81,407.96,11.29
EV,15.15,2.12,59413.11,0.13,57.8,119762.65,4.69,281.92,9.73
EV,16.27,8.2,57307.64,0.13,58.21,212046.78,6.97,364.32,13.58
ICE,9.74,128.99,108052.08,0.15,45.26,172743.76,8.72,197.41,7.58
ICE,6.42,143.08,93603.06,0.25,47.05,257669.84,10.03,257.27,10.03
ICE,6.74,111.41,77575.34,0.26,60.05,173419.42,10.98,246.58,8.52
ICE,8.01,124.61,78305.28,0.25,80.41,263450.56,6.16,176.58,10.61
EV,16.54,5.82,59968.59,0.1,88.21,155801.38,4.99,298.46,10.03
EV,15.39,4.48,46787.57,0.12,61.96,124745.35,3.89,280.09,13.37
EV,13.03,1.2,49328.22,0.12,81.5,201137.76,4.9,246.83,10.23
ICE,6.75,181.49,87163.83,0.17,39.45,219923.37,10.85,184.89,11.44
EV,12.19,5.01,47955.29,0.08,70.98,120708.0,5.82,369.6,11.38
EV,13.19,-5.6,38691.12,0.09,64.49,146699.84,5.2,197.53,11.11
EV,12.95,-4.6,39289.46,0.16,67.08,162523.95,6.31,367.96,11.83
EV,14.05,0.17,41012.16,0.13,71.64,132005.34,6.54,294.12,12.04
ICE,10.96,148.7,72305.39,0.24,74.42,97189.06,9.96,201.95,9.3
EV,15.2,-2.22,38834.76,0.13,63.28,135333.42,5.18,235.71,15.25
EV,16.22,-3.78,52502.0,0.09,77.03,166607.09,7.13,316.95,12.28
EV,13.31,2.75,45707.56,0.15,65.83,122460.72,5.98,285.84,13.36
EV,17.11,-7.88,49907.0,0.11,98.15,149338.95,7.53,295.36,10.59
ICE,7.3,126.21,89683.97,0.28,47.13,250717.15,9.38,174.0,10.99
ICE,7.77,153.72,77502.72,0.21,55.99,172990.27,8.83,253.23,13.1
ICE,8.66,158.56,82458.86,0.34,57.02,213816.26,7.3,171.89,7.61
EV,13.55,1.19,47033.93,0.11,67.15,161002.39,5.08,259.51,10.61
ICE,7.93,139.46,83893.93,0.27,46.0,130473.55,9.77,181.39,11.82
ICE,7.84,88.55,70573.36,0.23,28.06,144806.43,9.17,241.55,11.13
ICE,6.32,193.45,95106.77,0.26,61.5,150209.75,8.27,119.2,7.92
EV,14.56,-6.78,49497.95,0.13,64.16,138763.98,5.53,374.19,14.43
ICE,6.69,147.45,59372.76,0.29,46.69,166631.72,9.09,219.68,10.26
ICE,4.61,136.26,92134.83,0.28,57.68,214403.4,11.13,244.22,10.39
EV,18.06,-4.23,54631.85,0.1,64.61,175944.73,6.46,257.33,11.42
ICE,6.03,158.74,118190.82,0.23,40.63,214053.68,9.41,210.3,8.57
EV,15.04,3.97,50382.38,0.11,64.04,149916.42,5.87,245.71,10.56
ICE,7.66,165.65,75464.76,0.31,51.64,218825.35,8.53,141.71,6.2
EV,13.4,-1.07,54583.87,0.12,83.6,156249.68,6.67,395.13,12.16
EV,17.51,-7.91,59153.9,0.14,84.27,231090.83,5.62,381.96,12.97
ICE,7.97,160.6,91876.18,0.3,39.63,188245.42,7.11,182.43,12.98
EV,14.8,-1.72,48094.97,0.05,62.72,103666.98,6.96,322.24,12.69
EV,14.89,-2.18,51235.48,0.12,71.12,92851.67,6.86,238.21,10.4
ICE,7.91,109.07,78380.24,0.25,44.16,161968.62,10.08,267.55,14.19
ICE,5.15,87.74,104057.99,0.2,58.18,166012.05,7.19,183.8,7.65
EV,13.98,5.4,41389.12,0.09,82.62,147074.24,3.95,342.22,12.42
EV,15.17,-0.5,34140.17,0.1,83.93,120817.06,5.98,317.11,9.34
EV,17.36,7.64,53906.96,0.08,66.49,132890.58,6.49,299.0,10.9
ICE,7.22,133.32,67405.87,0.18,46.27,240261.15,8.37,200.8,11.58
EV,13.6,3.64,56222.07,0.12,68.87,108241.25,5.84,226.97,11.79
ICE,9.16,191.16,89934.6,0.31,51.7,192950.2,10.11,226.24,6.59
EV,17.09,-2.96,54576.87,0.09,74.75,104985.7,5.81,297.15,11.23
ICE,5.61,160.19,60393.52,0.32,65.58,207471.02,8.86,201.23,11.41
ICE,7.49,199.57,68860.11,0.2,63.39,201434.28,9.02,196.23,11.25
ICE,5.1,169.64,63273.11,0.26,56.98,141992.98,10.62,147.26,11.81
ICE,7.91,131.79,97439.72,0.27,49.98,139201.25,9.05,116.53,9.39
ICE,4.97,108.81,103435.32,0.29,55.35,206758.58,8.49,179.54,11.23
ICE,8.63,125.62,87027.85,0.25,54.97,190017.21,9.41,298.16,10.6
ICE,10.27,119.11,67225.74,0.27,62.71,148497.94,11.73,192.93,9.0
ICE,9.08,132.95,80289.36,0.2,66.35,175126.18,11.06,208.67,10.56
EV,14.38,-1.53,43827.47,0.09,81.28,143383.85,5.47,362.17,13.68
ICE,8.93,83.24,61658.75,0.2,62.78,192764.83,5.58,214.08,8.28
ICE,8.06,121.98,79527.93,0.24,46.01,189006.84,9.72,213.07,9.32
ICE,8.79,128.05,71421.46,0.29,42.15,179915.53,9.6,299.35,11.12
EV,16.31,-1.46,56515.22,0.12,70.68,169785.94,6.68,311.77,11.08
EV,15.43,-6.85,57906.26,0.06,83.56,165184.73,5.64,384.38,8.3
ICE,9.79,84.39,63833.84,0.27,57.96,263990.1,8.81,183.32,9.67
EV,15.06,5.87,44301.67,0.17,59.73,145440.98,6.42,319.44,10.05
EV,17.41,2.8,47125.52,0.13,76.71,151126.26,5.96,232.99,9.88
ICE,5.12,175.95,70415.22,0.24,49.48,214832.7,7.0,235.75,12.74
EV,13.94,2.83,56820.52,0.03,82.68,179281.22,4.49,247.2,9.8
ICE,7.35,134.94,65414.97,0.29,46.33,167496.9,8.23,197.18,13.94
ICE,10.34,160.02,77078.16,0.14,26.86,215834.04,8.58,152.87,9.39
EV,12.75,2.78,65379.32,0.11,69.39,134292.72,5.9,304.87,14.01
EV,15.2,-0.32,57153.81,0.12,62.65,154487.94,5.18,309.67,11.64
ICE,9.31,166.89,96567.17,0.23,54.44,181358.28,7.67,143.64,10.41
ICE,7.29,148.21,88099.26,0.21,44.92,193791.0,9.05,215.62,8.97
EV,14.56,-1.74,50005.28,0.16,76.34,120192.31,7.55,317.15,10.61
EV,14.48,-0.4,41523.66,0.09,67.74,65009.09,5.15,277.87,14.29
ICE,9.6,155.08,89833.32,0.22,34.55,229822.27,7.41,206.07,9.73
ICE,9.07,139.9,98531.48,0.23,41.59,205093.12,7.71,159.56,6.56
ICE,5.44,95.66,100341.6,0.23,53.9,194712.78,5.4,184.41,11.5
EV,17.91,-0.49,51847.41,0.1,73.07,94409.45,4.79,251.76,15.06
EV,10.85,-1.83,55820.27,0.15,53.69,151380.19,5.33,199.25,15.14
ICE,6.97,132.47,55944.06,0.32,60.27,199064.54,7.23,167.86,7.54
EV,11.39,5.44,54826.88,0.08,81.44,131650.99,6.28,260.46,9.89
ICE,7.96,143.67,84383.98,0.26,59.92,142753.39,7.6,240.37,7.89
EV,16.26,-3.11,48232.26,0.1,76.46,170927.61,3.78,285.48,10.42
EV,16.45,-3.76,50819.96,0.11,41.62,140219.63,8.37,374.75,13.45
ICE,8.99,162.91,81869.95,0.31,63.51,167119.52,8.9,248.63,12.59
EV,18.76,2.48,45444.6,0.17,48.09,126118.08,6.85,367.3,12.35
EV,17.08,-11.81,58484.31,0.16,69.92,183747.98,4.16,372.35,11.81
ICE,8.79,145.49,71835.88,0.29,59.09,94672.62,7.89,281.44,4.75
ICE,7.0,133.54,83780.51,0.18,44.25,152166.8,6.53,225.67,9.87
EV,13.97,6.19,42162.34,0.11,74.81,159598.96,3.75,361.86,10.43
EV,15.48,10.38,42308.58,0.08,60.15,150263.51,6.2,343.64,11.77
ICE,6.9,134.85,88774.3,0.27,63.8,190707.85,10.0,149.31,11.72
ICE,7.4,155.03,82826.8,0.28,41.84,188129.91,7.85,88.65,9.63
EV,15.42,0.58,44425.77,0.11,66.0,74802.85,5.55,260.33,11.15
EV,17.66,1.43,43914.1,0.18,59.7,213158.92,6.23,381.85,11.72
EV,15.26,15.97,56683.4,0.14,66.9,73393.51,6.0,246.0,10.04
ICE,5.57,97.06,97111.79,0.24,58.0,243582.53,9.21,212.04,12.48
EV,15.83,-1.94,50070.63,0.14,49.37,139584.41,6.14,300.9,12.3
EV,16.63,1.34,56504.5,0.09,60.15,170889.69,5.65,264.22,11.63
EV,13.48,3.71,50327.97,0.15,63.93,175268.92,6.44,287.55,12.25
EV,18.75,7.81,40757.67,0.12,55.67,104624.13,4.58,315.72,12.74
ICE,8.36,154.18,64726.19,0.24,60.53,185879.69,9.68,253.35,10.62
ICE,9.47,138.94,91608.16,0.25,20.88,219855.54,6.61,178.41,13.96
EV,11.47,6.9,51551.91,0.16,73.93,144399.63,5.14,242.35,12.17
ICE,9.36,95.38,72867.73,0.3,35.71,153896.08,11.92,223.09,8.84
EV,18.13,-6.41,51973.16,0.17,68.55,103338.79,6.45,359.0,10.41
EV,14.69,-1.02,31200.76,0.07,78.39,162198.66,7.16,395.86,10.52
EV,13.75,-3.23,44517.31,0.1,43.75,157294.04,4.88,400.12,15.74
ICE,7.69,107.89,83917.77,0.18,46.01,159464.13,10.65,156.0,8.26
EV,14.36,-6.14,65490.2,0.09,73.38,171868.24,5.43,269.44,13.21
ICE,7.83,143.71,72408.66,0.27,41.04,145507.72,8.39,207.59,9.45
EV,11.02,4.25,45498.11,0.11,66.94,194342.16,7.34,292.18,14.67
EV,15.69,-10.68,59321.92,0.12,68.04,146305.91,6.09,297.94,9.67
EV,16.34,-3.26,52634.87,0.09,62.39,143343.35,5.1,375.14,10.3
ICE,5.77,150.69,75128.87,0.22,55.09,256035.55,9.12,168.82,7.81
ICE,7.58,218.97,92436.48,0.23,50.27,219513.38,8.75,141.32,6.06
EV,14.5,-0.19,47585.03,0.08,82.02,139320.78,6.32,249.06,14.28
ICE,7.6,177.42,76384.05,0.24,51.21,203336.2,10.65,221.45,10.43
ICE,8.35,148.64,71146.78,0.29,63.67,115295.14,10.58,196.05,7.6
EV,15.37,4.76,42417.18,0.18,82.81,140057.06,6.49,415.88,12.59
ICE,6.74,153.44,99882.5,0.25,53.34,269293.84,7.88,208.28,10.5
ICE,8.77,110.68,80529.43,0.25,50.69,149728.79,10.63,206.83,7.98
ICE,7.55,124.17,130666.52,0.27,42.19,142615.64,8.46,191.17,11.65
EV,16.52,1.97,50379.38,0.12,74.18,157482.53,5.52,281.64,14.8
ICE,8.49,141.03,78890.23,0.14,57.92,172733.56,9.89,197.9,8.58
EV,12.95,3.74,57450.05,0.13,73.05,154838.99,5.37,358.56,12.79
EV,16.7,4.19,41917.34,0.13,67.92,122453.64,6.44,251.09,16.38
ICE,8.02,139.46,70759.59,0.29,32.14,224726.74,10.19,185.21,8.63
ICE,9.5,156.15,105776.59,0.28,27.47,166443.66,7.59,165.17,11.62
ICE,5.08,134.41,71939.56,0.33,66.72,171501.65,9.12,143.09,9.02
EV,18.54,-0.88,54547.41,0.16,67.47,147602.75,6.28,213.8,12.37
EV,15.12,1.12,43585.13,0.11,39.92,124606.97,5.7,388.77,16.41
EV,14.67,-1.29,29158.87,0.16,53.11,102865.43,5.28,366.52,13.06
ICE,8.09,75.39,100773.07,0.22,35.71,177739.76,8.24,278.33,12.79
EV,16.65,-2.42,60602.1,0.12,61.91,171472.03,4.57,380.27,11.35
ICE,8.1,132.22,76629.8,0.25,67.38,231752.71,6.46,164.57,9.44
ICE,8.53,133.86,98483.06,0.21,64.84,209427.23,7.34,202.56,9.56
ICE,7.21,153.73,77201.4,0.3,49.54,148685.34,10.56,226.96,10.33
EV,16.17,-4.05,44737.52,0.05,62.28,127878.6,4.52,358.53,12.68
ICE,7.97,107.09,73957.5,0.26,37.35,257606.27,8.49,172.96,9.19
EV,12.56,7.87,77596.6,0.13,79.57,221830.86,6.07,361.2,15.97
EV,13.97,-0.66,47211.17,0.11,68.42,151011.57,7.99,329.95,12.76
EV,17.56,0.14,56067.23,0.14,63.7,146128.98,5.19,351.08,9.15
ICE,9.33,149.73,56355.37,0.35,49.76,207747.92,8.3,205.75,9.12
ICE,5.9,150.77,62344.53,0.33,60.2,157647.35,6.31,197.18,9.41
ICE,7.81,167.5,83474.72,0.3,60.98,215478.1,8.57,180.11,10.33
ICE,6.27,137.42,85043.94,0.28,57.07,233397.87,10.65,142.28,12.91
ICE,8.34,107.88,86032.97,0.26,55.67,145660.96,8.35,284.04,7.33
ICE,9.42,110.58,82451.42,0.23,38.63,164007.09,9.29,266.8,8.72
ICE,9.23,96.81,92229.86,0.26,54.17,139811.81,7.59,162.52,8.33
EV,13.47,-1.86,59218.02,0.1,81.8,124309.54,7.12,296.34,8.51
EV,16.71,-6.67,54621.73,0.14,72.64,148761.22,4.92,301.67,11.18
ICE,5.1,112.4,111576.3,0.24,49.69,146679.67,6.08,190.04,11.13
EV,14.11,0.84,49475.96,0.1,69.37,132093.16,6.75,348.13,13.77
ICE,8.25,198.91,97204.44,0.31,50.22,221147.95,7.65,254.36,10.39
ICE,7.13,104.92,69593.5,0.3,53.5,134841.47,7.1,270.84,11.46
EV,15.31,2.76,50191.48,0.06,54.34,139893.15,5.52,294.78,16.15
ICE,8.37,149.65,65858.37,0.26,54.28,160959.29,9.88,141.78,10.42
EV,12.86,4.59,48196.08,0.09,61.54,143980.82,4.27,336.49,12.0
ICE,7.15,148.75,65149.79,0.33,50.81,178483.41,9.23,181.33,11.39
ICE,6.37,159.17,101508.27,0.28,42.96,166352.01,9.24,226.24,10.02
ICE,4.61,141.21,71701.38,0.15,56.13,152061.05,7.91,263.91,8.65
ICE,9.37,131.66,71724.87,0.25,54.56,187244.49,8.67,201.08,6.31
ICE,3.38,152.36,80325.7,0.17,40.49,132514.79,9.99,174.89,7.77
ICE,9.42,153.52,101831.02,0.28,61.97,167441.91,8.25,163.66,10.95
EV,14.49,-5.0,58481.74,0.14,63.58,170817.7,4.75,248.52,10.04
ICE,8.51,148.49,50861.44,0.26,51.85,184401.39,3.55,137.41,10.4
ICE,5.2,125.38,73462.14,0.25,20.32,189893.33,9.17,181.62,10.26
ICE,7.08,149.47,47303.17,0.17,53.47,237872.91,7.85,177.4,13.84
ICE,8.84,180.58,65432.15,0.25,57.39,147648.24,9.04,186.43,12.97
EV,18.0,-0.84,52253.08,0.19,64.47,170637.99,6.14,277.45,11.42
EV,19.63,-5.94,46416.6,0.09,46.08,203543.25,7.2,355.34,8.7
EV,15.21,-0.11,36328.62,0.08,68.42,106912.38,5.08,332.09,13.72
EV,18.82,-2.76,59681.85,0.1,56.47,165996.22,4.79,306.09,11.1
ICE,7.62,79.95,72267.96,0.23,42.75,227389.76,7.96,255.68,13.39
ICE,6.92,100.54,95419.39,0.26,45.86,176145.55,12.11,221.78,11.09
ICE,9.35,124.21,85944.8,0.22,58.7,180641.47,10.6,251.28,11.62
ICE,7.91,158.37,72797.46,0.3,53.52,194081.54,8.27,213.2,8.96
ICE,6.63,185.18,104071.03,0.15,69.43,157533.58,5.76,127.71,4.48
ICE,10.18,135.55,96418.44,0.21,48.05,195184.4,10.5,188.13,11.59
EV,16.03,-7.01,46869.42,0.15,61.43,119223.96,5.94,236.48,9.84
ICE,8.71,157.37,75795.76,0.25,43.7,154939.99,10.17,173.08,12.84
ICE,6.23,152.99,84930.24,0.19,48.55,187303.51,9.86,208.0,8.44
EV,16.29,-0.27,41754.86,0.1,66.81,125623.63,7.12,268.48,12.92
EV,15.37,4.88,52413.22,0.05,71.39,138483.76,5.05,370.95,11.8
ICE,8.91,78.16,78855.83,0.3,58.98,216921.34,8.01,205.85,9.52
ICE,4.85,111.04,47366.77,0.27,58.26,122129.72,8.58,187.24,6.88
ICE,8.99,126.29,61643.83,0.31,40.94,226687.84,7.07,180.39,7.23
EV,14.71,5.7,55532.51,0.19,61.98,129854.63,6.3,258.02,12.25
ICE,10.0,144.06,73489.5,0.19,47.97,207044.15,8.77,241.01,10.87
ICE,8.31,157.64,87704.14,0.28,55.22,119263.12,7.64,164.57,12.44
EV,16.85,2.57,56220.7,0.15,71.26,146850.97,4.87,322.24,11.79
ICE,6.31,103.12,92764.74,0.23,48.17,146065.34,6.68,212.26,10.55
EV,19.89,-0.9,55987.94,0.14,70.56,134670.32,6.77,375.25,11.98
ICE,7.21,104.2,65609.68,0.25,45.86,197691.27,8.19,177.61,11.32
ICE,8.95,150.31,60278.77,0.21,64.17,104206.63,8.55,166.2,8.29
EV,15.38,-0.54,34828.26,0.17,76.45,123187.62,5.63,355.63,11.15
ICE,9.38,137.56,114995.25,0.21,34.3,228896.09,8.0,238.06,10.58
EV,17.99,-1.26,62748.75,0.11,61.61,151130.9,6.2,297.56,10.46
ICE,8.09,119.47,99468.75,0.18,49.2,206083.21,6.17,183.64,8.02
ICE,9.65,137.08,72162.19,0.24,37.09,234043.56,7.13,257.88,11.88
EV,12.57,-9.88,56687.42,0.13,80.36,149724.53,4.59,335.38,15.33
ICE,7.15,124.91,84518.64,0.27,29.02,204160.99,9.12,184.35,8.18
EV,14.12,-3.68,44958.2,0.13,58.79,109924.13,6.97,309.15,10.5
EV,13.35,0.92,54086.53,0.09,76.8,141754.64,4.5,397.18,10.81
ICE,6.89,154.76,97775.1,0.17,38.77,180512.57,9.58,212.41,10.56
EV,13.57,6.48,54632.06,0.16,77.18,135371.0,5.28,344.66,11.35
EV,12.34,1.12,49744.26,0.09,69.78,198716.55,6.82,185.71,11.83
ICE,8.09,107.5,88226.95,0.23,61.79,172880.55,10.04,206.43,8.6
EV,17.32,-6.95,54982.22,0.11,67.31,147241.3,4.75,327.4,13.58
ICE,8.39,184.82,67304.03,0.35,50.05,170009.1,8.03,165.54,9.84
EV,15.89,-3.53,23957.86,0.16,69.08,101189.85,5.0,270.78,11.35
EV,18.13,5.5,65781.18,0.08,57.09,185429.7,5.93,315.69,9.99
ICE,8.29,127.82,42148.14,0.2,54.03,122730.81,10.81,98.87,10.56
EV,16.67,-1.55,42300.04,0.13,77.31,146790.86,6.98,305.31,13.26
EV,16.78,-3.6,53687.33,0.12,61.26,155284.51,4.52,255.18,12.16
ICE,6.24,171.27,75376.76,0.28,51.22,186347.33,10.01,234.0,11.18
EV,16.23,8.35,42367.14,0.11,78.5,158806.13,5.15,283.85,13.21
